,ID,Title,Japanese,English,Synopsis,Type,Episodes,Status,Start_Aired,End_Aired,Producers,Licensors,Studios,Source,Genres,Themes,Demographics,Duration_Minutes,Rating,Score,Scored_Users,Ranked,Popularity,Members,Favorites,year
20644,53062,Unpi,unpi,Unknown,A short film by Haruka Suzuki.,ONA,1.0,Finished Airing,2012,Not Available,Unknown,Unknown,Unknown,Original,Avant Garde,Unknown,Unknown,1.0,G - All Ages,,,158272.0,20674,35,0,2012.0
19682,47143,Nono Zu,喏喏族,Unknown,Unknown,ONA,380.0,Finished Airing,2013,Unknown,Unknown,Unknown,Unknown,Unknown,Comedy,Unknown,Kids,3.0,PG - Children,,,139232.0,19710,60,0,2013.0
20039,46698,Chengzi Gushi,橙子故事,Unknown,Unknown,ONA,12.0,Finished Airing,2013,Unknown,Unknown,Unknown,Unknown,Original,Unknown,Unknown,Kids,5.0,PG - Children,,,173112.0,20065,50,0,2013.0
12122,31309,Balloon,Balloon,Unknown,A short animation by Yutaro Kubo.,ONA,1.0,Finished Airing,2013,Not Available,Unknown,Unknown,Unknown,Original,Avant Garde,Unknown,Unknown,55.0,G - All Ages,4.971,521.0,124272.0,12135,929,3,2013.0
20198,46727,Nushen De Sheng Dou Shi,女神的圣逗士,Unknown,Unknown,ONA,12.0,Finished Airing,2013,Unknown,Unknown,Unknown,Unknown,Other,Comedy,Parody,Unknown,4.0,PG-13 - Teens 13 or older,,,139562.0,20226,47,0,2013.0
20594,53060,Asa,あさ,Unknown,A short film by Haruka Suzuki based on the poem Asa by Ikuko Shirakuma.,ONA,1.0,Finished Airing,2013,Not Available,Unknown,Unknown,Unknown,Other,Avant Garde,Unknown,Unknown,1.0,G - All Ages,,,168892.0,20623,36,0,2013.0
13805,29605,Double Hard,ダブル・ハード,Double Hard,"Unbeatable Fist-Fighter Daiki Hayami and Professional Knuckler Jin Takayama ram into the incredible fight against Shibaura's craziest bike gang Midnight King and its head Shinjo Brothers!!

Unfair and underhanded Midnight King takes one of Daiki's classmates Mai as its hostage. That makes Daiki and Jin's anger get to the high peak!!

(Source: Crunchyroll)",ONA,26.0,Finished Airing,2013,Unknown,Unknown,Unknown,Next Media Animation,Manga,Action,Martial Arts,Unknown,12.0,PG-13 - Teens 13 or older,,,177182.0,13824,525,2,2013.0
21199,44577,Xingfu Xiao Zhen 2nd Season,幸福小镇 第二季,Unknown,Unknown,ONA,1.0,Finished Airing,2013,Not Available,Unknown,Unknown,Unknown,Original,"Action, Comedy",Parody,Unknown,19.0,G - All Ages,,,162302.0,21232,26,0,2013.0
21045,44547,Baozou Donghua 2nd Season,暴走动画 第二季,Unknown,Unknown,ONA,10.0,Finished Airing,2013,Unknown,Unknown,Unknown,Unknown,Unknown,Comedy,Gag Humor,Unknown,4.0,PG-13 - Teens 13 or older,,,170302.0,21074,29,0,2013.0
20757,44546,Baozou Donghua,暴走动画,Unknown,Unknown,ONA,9.0,Finished Airing,2013,Not Available,Unknown,Unknown,Unknown,Unknown,Comedy,Gag Humor,Unknown,4.0,PG-13 - Teens 13 or older,,,170292.0,20787,33,0,2013.0
20694,53061,Grief Work.,Grief Work.,Unknown,A short film by Haruka Suzuki.,ONA,1.0,Finished Airing,2014,Not Available,Unknown,Unknown,Unknown,Original,Avant Garde,Music,Unknown,2.0,G - All Ages,,,181192.0,20722,34,0,2014.0
