Title,Japanese,Type,Studios,Start_Aired,Source,Popularity,Score,Members,Favorites,Genres
Photokano,フォトカノ,TV,Madhouse,2013-04-05,Visual novel,1618,6.191,114696,145,"Romance, Ecchi"
Devil Survivor 2 The Animation,デビルサバイバー２ THE ANIMATION,TV,Bridge,2013-04-05,Game,1242,6.851,160996,469,"Action, Supernatural"
Yahari Ore no Seishun Love Comedy wa Machigatteiru.,やはり俺の青春ラブコメはまちがっている。,TV,Brain's Base,2013-04-05,Light novel,82,8.021,1292099,26918,"Comedy, Romance"
Mesu Nochi Torare,メスのちトラレ,OVA,Unknown,2013-04-05,Manga,6321,6.041,7812,31,Hentai
Aku no Hana,惡の華,TV,Zexcs,2013-04-05,Manga,1015,7.141,201322,2849,"Drama, Romance"
Himitsukessha Taka no Tsume MAX,秘密結社鷹の爪 MAX,TV,DLE,2013-04-05,Unknown,14052,,488,0,Comedy
Haitai Nanafa 2nd Season,はいたい七葉 2,TV,Passione,2013-04-06,Original,8380,5.901,3765,1,"Comedy, Supernatural"
Baku Tech! Bakugan Gachi,爆TECH!爆丸ガチ,TV,Unknown,2013-04-06,Unknown,10017,5.841,2057,0,Action
Date A Live,デート・ア・ライブ,TV,AIC PLUS+,2013-04-06,Light novel,143,7.171,940171,9183,"Comedy, Romance, Sci-Fi"
Danchi Tomoo,団地ともお,TV,Unknown,2013-04-06,Manga,12079,,945,1,Comedy
Pretty Rhythm: Rainbow Live,プリティーリズム・レインボーライブ,TV,"Tatsunoko Production, Dongwoo A&E",2013-04-06,Game,5283,7.551,12155,173,"Slice of Life, Sports"
Tanken Driland: 1000-nen no Mahou,探検ドリランド-1000年の真宝（まほう）-,TV,Toei Animation,2013-04-06,Unknown,11231,6.001,1305,2,"Adventure, Fantasy"
Zettai Bouei Leviathan,絶対防衛レヴィアタン,TV,Gonzo,2013-04-06,Game,3741,6.281,27223,34,"Comedy, Fantasy"
