anime_ID,Start_Aired,Genres
8235,1972-01-09, Fantasy
8235,1972-01-09, Slice of Life
4332,1972-01-10,Action
4332,1972-01-10, Mystery
52161,1972-02-01,Unknown
36809,1972-02-01,Unknown
36400,1972-02-04,Unknown
49194,1972-03-01,Avant Garde
5006,1972-03-18,Adventure
5006,1972-03-18, Fantasy
2718,1972-04-01,Adventure
2718,1972-04-01, Fantasy
3845,1972-04-03,Adventure
11275,1972-04-05,Adventure
20237,1972-04-23,Sports
2252,1972-07-08,Action
2252,1972-07-08, Horror
2252,1972-07-08, Supernatural
11269,1972-07-16,Action
11269,1972-07-16, Sci-Fi
39876,1972-07-30,Unknown
22893,1972-08-27,Romance
2389,1972-10-01,Action
2389,1972-10-01, Adventure
2389,1972-10-01, Sci-Fi
5311,1972-10-04,Action
5311,1972-10-04, Sci-Fi
23015,1972-10-05,Adventure
23015,1972-10-05, Comedy
19087,1972-10-05,Adventure
19087,1972-10-05, Comedy
37070,1972-10-05,Unknown
5618,1972-10-07,Comedy
5618,1972-10-07, Slice of Life
8685,1972-10-07,Supernatural
